Station Name,Time Period,Avg Daily Entries_x,Date,Avg. Daily Rides,City,State,Line,Time Category,Quarter,Metro Lines,Weekday/Weekend,Service Hours,Average fare_x,Avg Daily Tapped Entries_y,Avg Daily NonTap Entries_y,Avg Daily Entries_y,Average fare_y,Total Expected Revenue_y,Actual Revenue_y,Revenue loss_y,Paying Riders_y,Non Paying Riders_y
Addison Road,AM Peak,1.1K,45448,1100, CAPITOL HEIGHTS, MD,"blue, silver",AM Peak Hours,2nd Qtr,Blue Line ,Weekday,Open-9:30am,2.4,1021,34,1055,2.4,2532,2450.4,81.6,0.967772512,0.032227488
Addison Road,Late Night,0.0K,45458,0, CAPITOL HEIGHTS, MD,"blue, silver",Late Night,2nd Qtr,Blue Line ,Weekend,12am-Close,2.4,10,0,10,2.4,24,24,0,1,0
Addison Road,Evening,0.1K,45458,100, CAPITOL HEIGHTS, MD,"blue, silver",Evening,2nd Qtr,Blue Line ,Weekend,7pm-12am,2.4,110,4,114,2.4,273.6,264,9.6,0.964912281,0.035087719
Addison Road,PM Peak,0.2K,45458,200, CAPITOL HEIGHTS, MD,"blue, silver",PM Peak Hours,2nd Qtr,Blue Line ,Weekend,3pm-7pm,2.4,161,9,170,2.4,408,386.4,21.6,0.947058824,0.052941176
Addison Road,Midday,0.3K,45458,300, CAPITOL HEIGHTS, MD,"blue, silver",Midday,2nd Qtr,Blue Line ,Weekend,9:30am-3pm,2.4,308,10,318,2.4,763.2,739.2,24,0.968553459,0.031446541
Addison Road,AM Peak,0.2K,45458,200, CAPITOL HEIGHTS, MD,"blue, silver",AM Peak Hours,2nd Qtr,Blue Line ,Weekend,Open-9:30am,2.4,212,6,218,2.4,523.2,508.8,14.4,0.972477064,0.027522936
Addison Road,Late Night,0.0K,45357,0, CAPITOL HEIGHTS, MD,"blue, silver",Late Night,1st Qtr,Blue Line ,Weekday,12am-Close,2.4,1,0,1,2.4,2.4,2.4,0,1,0
Addison Road,Evening,0.1K,45357,100, CAPITOL HEIGHTS, MD,"blue, silver",Evening,1st Qtr,Blue Line ,Weekday,7pm-12am,2.4,106,5,111,2.4,266.4,254.4,12,0.95,0.05
Addison Road,PM Peak,0.2K,45357,200, CAPITOL HEIGHTS, MD,"blue, silver",PM Peak Hours,1st Qtr,Blue Line ,Weekday,3pm-7pm,2.4,160,11,171,2.4,410.4,384,26.4,0.94,0.06
Addison Road,Midday,0.3K,45357,300, CAPITOL HEIGHTS, MD,"blue, silver",Midday,1st Qtr,Blue Line ,Weekday,9:30am-3pm,2.4,318,10,328,2.4,787.2,763.2,24,0.97,0.03
Addison Road,AM Peak,1.0K,45357,1000, CAPITOL HEIGHTS, MD,"blue, silver",AM Peak Hours,1st Qtr,Blue Line ,Weekday,Open-9:30am,2.4,965,27,992,2.4,2380.8,2316,64.8,0.97,0.03
Addison Road,Late Night,0.0K,45374,0, CAPITOL HEIGHTS, MD,"blue, silver",Late Night,1st Qtr,Blue Line ,Weekend,12am-Close,2.4,1,0,1,2.4,2.4,2.4,0,1,0
Addison Road,Evening,0.1K,45374,100, CAPITOL HEIGHTS, MD,"blue, silver",Evening,1st Qtr,Blue Line ,Weekend,7pm-12am,2.4,83,6,89,2.4,213.6,199.2,14.4,0.93258427,0.06741573
Addison Road,PM Peak,0.1K,45374,100, CAPITOL HEIGHTS, MD,"blue, silver",PM Peak Hours,1st Qtr,Blue Line ,Weekend,3pm-7pm,2.4,121,11,132,2.4,316.8,290.4,26.4,0.916666667,0.083333333
Addison Road,Midday,0.2K,45374,200, CAPITOL HEIGHTS, MD,"blue, silver",Midday,1st Qtr,Blue Line ,Weekend,9:30am-3pm,2.4,217,9,226,2.4,542.4,520.8,21.6,0.960176991,0.039823009
Addison Road,AM Peak,0.1K,45374,100, CAPITOL HEIGHTS, MD,"blue, silver",AM Peak Hours,1st Qtr,Blue Line ,Weekend,Open-9:30am,2.4,143,5,148,2.4,355.2,343.2,12,0.966216216,0.033783784
Addison Road,Late Night,0.0K,45539,0, CAPITOL HEIGHTS, MD,"blue, silver",Late Night,3rd Qtr,Blue Line ,Weekday,12am-Close,2.4,11,0,11,2.4,26.4,26.4,0,1,0
Addison Road,Evening,0.1K,45539,100, CAPITOL HEIGHTS, MD,"blue, silver",Evening,3rd Qtr,Blue Line ,Weekday,7pm-12am,2.4,109,4,113,2.4,271.2,261.6,9.6,0.96460177,0.03539823
Addison Road,PM Peak,0.2K,45539,200, CAPITOL HEIGHTS, MD,"blue, silver",PM Peak Hours,3rd Qtr,Blue Line ,Weekday,3pm-7pm,2.4,200,10,210,2.4,504,480,24,0.952380952,0.047619048
Addison Road,Midday,0.4K,45539,400, CAPITOL HEIGHTS, MD,"blue, silver",Midday,3rd Qtr,Blue Line ,Weekday,9:30am-3pm,2.4,382,16,398,2.4,955.2,916.8,38.4,0.959798995,0.040201005
Addison Road,AM Peak,1.1K,45539,1100, CAPITOL HEIGHTS, MD,"blue, silver",AM Peak Hours,3rd Qtr,Blue Line ,Weekday,Open-9:30am,2.4,1043,29,1072,2.4,2572.8,2503.2,69.6,0.972947761,0.027052239
Addison Road,Late Night,0.0K,45556,0, CAPITOL HEIGHTS, MD,"blue, silver",Late Night,3rd Qtr,Blue Line ,Weekend,12am-Close,2.4,41,1,42,2.4,100.8,98.4,2.4,0.976190476,0.023809524
Addison Road,Evening,0.3K,45556,300, CAPITOL HEIGHTS, MD,"blue, silver",Evening,3rd Qtr,Blue Line ,Weekend,7pm-12am,2.4,307,18,325,2.4,780,736.8,43.2,0.944615385,0.055384615
Addison Road,PM Peak,0.3K,45556,300, CAPITOL HEIGHTS, MD,"blue, silver",PM Peak Hours,3rd Qtr,Blue Line ,Weekend,3pm-7pm,2.4,293,20,313,2.4,751.2,703.2,48,0.936102236,0.063897764
Addison Road,Midday,0.3K,45556,300, CAPITOL HEIGHTS, MD,"blue, silver",Midday,3rd Qtr,Blue Line ,Weekend,9:30am-3pm,2.4,313,18,331,2.4,794.4,751.2,43.2,0.945619335,0.054380665
Addison Road,AM Peak,0.1K,45556,100, CAPITOL HEIGHTS, MD,"blue, silver",AM Peak Hours,3rd Qtr,Blue Line ,Weekend,Open-9:30am,2.4,114,8,122,2.4,292.8,273.6,19.2,0.93442623,0.06557377
Anacostia,Late Night,0.0K,45630,0, WASHINGTON, DC,green,Late Night,4th Qtr,Green Line ,Weekday,12am-Close,2.4,29,4,33,2.4,79.2,69.6,9.6,0.878787879,0.121212121
Anacostia,Evening,0.3K,45630,300, WASHINGTON, DC,green,Evening,4th Qtr,Green Line ,Weekday,7pm-12am,2.4,300,19,319,2.4,765.6,720,45.6,0.940438871,0.059561129
Anacostia,PM Peak,1.4K,45630,1400, WASHINGTON, DC,green,PM Peak Hours,4th Qtr,Green Line ,Weekday,3pm-7pm,2.4,1268,146,1414,2.4,3393.6,3043.2,350.4,0.896746818,0.103253182
Anacostia,Midday,1.2K,45630,1200, WASHINGTON, DC,green,Midday,4th Qtr,Green Line ,Weekday,9:30am-3pm,2.4,1130,93,1223,2.4,2935.2,2712,223.2,0.923957482,0.076042518
Anacostia,AM Peak,1.8K,45630,1800, WASHINGTON, DC,green,AM Peak Hours,4th Qtr,Green Line ,Weekday,Open-9:30am,2.4,1591,197,1788,2.4,4291.2,3818.4,472.8,0.889821029,0.110178971
Anacostia,Late Night,0.0K,45647,0, WASHINGTON, DC,green,Late Night,4th Qtr,Green Line ,Weekend,12am-Close,2.4,17,3,20,2.4,48,40.8,7.2,0.85,0.15
Anacostia,Evening,0.2K,45647,200, WASHINGTON, DC,green,Evening,4th Qtr,Green Line ,Weekend,7pm-12am,2.4,219,17,236,2.4,566.4,525.6,40.8,0.927966102,0.072033898
Anacostia,PM Peak,0.5K,45647,500, WASHINGTON, DC,green,PM Peak Hours,4th Qtr,Green Line ,Weekend,3pm-7pm,2.4,445,58,503,2.4,1207.2,1068,139.2,0.884691849,0.115308151
Anacostia,Midday,0.9K,45647,900, WASHINGTON, DC,green,Midday,4th Qtr,Green Line ,Weekend,9:30am-3pm,2.4,793,80,873,2.4,2095.2,1903.2,192,0.90836197,0.09163803
Anacostia,AM Peak,0.4K,45647,400, WASHINGTON, DC,green,AM Peak Hours,4th Qtr,Green Line ,Weekend,Open-9:30am,2.4,331,19,350,2.4,840,794.4,45.6,0.945714286,0.054285714
Anacostia,Late Night,0.0K,45448,0, WASHINGTON, DC,green,Late Night,2nd Qtr,Green Line ,Weekday,12am-Close,2.4,3,0,3,2.4,7.2,7.2,0,1,0
Anacostia,Evening,0.3K,45448,300, WASHINGTON, DC,green,Evening,2nd Qtr,Green Line ,Weekday,7pm-12am,2.4,326,16,342,2.4,820.8,782.4,38.4,0.953216374,0.046783626
Anacostia,PM Peak,1.3K,45448,1300, WASHINGTON, DC,green,PM Peak Hours,2nd Qtr,Green Line ,Weekday,3pm-7pm,2.4,1222,77,1299,2.4,3117.6,2932.8,184.8,0.940723634,0.059276366
Anacostia,Midday,1.2K,45448,1200, WASHINGTON, DC,green,Midday,2nd Qtr,Green Line ,Weekday,9:30am-3pm,2.4,1178,49,1227,2.4,2944.8,2827.2,117.6,0.9600652,0.0399348
Anacostia,AM Peak,1.6K,45448,1600, WASHINGTON, DC,green,AM Peak Hours,2nd Qtr,Green Line ,Weekday,Open-9:30am,2.4,1522,74,1596,2.4,3830.4,3652.8,177.6,0.953634085,0.046365915
Anacostia,Late Night,0.0K,45458,0, WASHINGTON, DC,green,Late Night,2nd Qtr,Green Line ,Weekend,12am-Close,2.4,18,3,21,2.4,50.4,43.2,7.2,0.857142857,0.142857143
Anacostia,Evening,0.4K,45458,400, WASHINGTON, DC,green,Evening,2nd Qtr,Green Line ,Weekend,7pm-12am,2.4,391,38,429,2.4,1029.6,938.4,91.2,0.911421911,0.088578089
Anacostia,PM Peak,0.6K,45458,600, WASHINGTON, DC,green,PM Peak Hours,2nd Qtr,Green Line ,Weekend,3pm-7pm,2.4,594,33,627,2.4,1504.8,1425.6,79.2,0.947368421,0.052631579
Anacostia,Midday,1.0K,45458,1000, WASHINGTON, DC,green,Midday,2nd Qtr,Green Line ,Weekend,9:30am-3pm,2.4,979,64,1043,2.4,2503.2,2349.6,153.6,0.938638543,0.061361457
Anacostia,AM Peak,0.4K,45458,400, WASHINGTON, DC,green,AM Peak Hours,2nd Qtr,Green Line ,Weekend,Open-9:30am,2.4,345,16,361,2.4,866.4,828,38.4,0.95567867,0.04432133
Anacostia,Late Night,0.0K,45357,0, WASHINGTON, DC,green,Late Night,1st Qtr,Green Line ,Weekday,12am-Close,2.4,9,0,9,2.4,21.6,21.6,0,1,0
Anacostia,Evening,0.2K,45357,200, WASHINGTON, DC,green,Evening,1st Qtr,Green Line ,Weekday,7pm-12am,2.4,231,18,249,2.4,597.6,554.4,43.2,0.93,0.07
Anacostia,PM Peak,1.3K,45357,1300, WASHINGTON, DC,green,PM Peak Hours,1st Qtr,Green Line ,Weekday,3pm-7pm,2.4,1174,79,1253,2.4,3007.2,2817.6,189.6,0.94,0.06
Anacostia,Midday,1.2K,45357,1200, WASHINGTON, DC,green,Midday,1st Qtr,Green Line ,Weekday,9:30am-3pm,2.4,1097,60,1157,2.4,2776.8,2632.8,144,0.95,0.05
Anacostia,AM Peak,1.6K,45357,1600, WASHINGTON, DC,green,AM Peak Hours,1st Qtr,Green Line ,Weekday,Open-9:30am,2.4,1494,80,1574,2.4,3777.6,3585.6,192,0.95,0.05
Anacostia,Late Night,0.0K,45374,0, WASHINGTON, DC,green,Late Night,1st Qtr,Green Line ,Weekend,12am-Close,2.4,11,1,12,2.4,28.8,26.4,2.4,0.916666667,0.083333333
Anacostia,Evening,0.3K,45374,300, WASHINGTON, DC,green,Evening,1st Qtr,Green Line ,Weekend,7pm-12am,2.4,252,19,271,2.4,650.4,604.8,45.6,0.929889299,0.070110701
Anacostia,PM Peak,0.5K,45374,500, WASHINGTON, DC,green,PM Peak Hours,1st Qtr,Green Line ,Weekend,3pm-7pm,2.4,433,24,457,2.4,1096.8,1039.2,57.6,0.947483589,0.052516411
Anacostia,Midday,0.7K,45374,700, WASHINGTON, DC,green,Midday,1st Qtr,Green Line ,Weekend,9:30am-3pm,2.4,681,38,719,2.4,1725.6,1634.4,91.2,0.947148818,0.052851182
Anacostia,AM Peak,0.3K,45374,300, WASHINGTON, DC,green,AM Peak Hours,1st Qtr,Green Line ,Weekend,Open-9:30am,2.4,280,19,299,2.4,717.6,672,45.6,0.936454849,0.063545151
Anacostia,Late Night,0.0K,45539,0, WASHINGTON, DC,green,Late Night,3rd Qtr,Green Line ,Weekday,12am-Close,2.4,8,0,8,2.4,19.2,19.2,0,1,0
Anacostia,Evening,0.3K,45539,300, WASHINGTON, DC,green,Evening,3rd Qtr,Green Line ,Weekday,7pm-12am,2.4,295,9,304,2.4,729.6,708,21.6,0.970394737,0.029605263
Anacostia,PM Peak,1.2K,45539,1200, WASHINGTON, DC,green,PM Peak Hours,3rd Qtr,Green Line ,Weekday,3pm-7pm,2.4,1186,55,1241,2.4,2978.4,2846.4,132,0.955680902,0.044319098
Anacostia,Midday,1.2K,45539,1200, WASHINGTON, DC,green,Midday,3rd Qtr,Green Line ,Weekday,9:30am-3pm,2.4,1143,65,1208,2.4,2899.2,2743.2,156,0.946192053,0.053807947
Anacostia,AM Peak,1.8K,45539,1800, WASHINGTON, DC,green,AM Peak Hours,3rd Qtr,Green Line ,Weekday,Open-9:30am,2.4,1685,76,1761,2.4,4226.4,4044,182.4,0.956842703,0.043157297
Anacostia,Late Night,0.0K,45556,0, WASHINGTON, DC,green,Late Night,3rd Qtr,Green Line ,Weekend,12am-Close,2.4,13,2,15,2.4,36,31.2,4.8,0.866666667,0.133333333
Anacostia,Evening,0.3K,45556,300, WASHINGTON, DC,green,Evening,3rd Qtr,Green Line ,Weekend,7pm-12am,2.4,298,23,321,2.4,770.4,715.2,55.2,0.92834891,0.07165109
Anacostia,PM Peak,0.5K,45556,500, WASHINGTON, DC,green,PM Peak Hours,3rd Qtr,Green Line ,Weekend,3pm-7pm,2.4,494,41,535,2.4,1284,1185.6,98.4,0.923364486,0.076635514
Anacostia,Midday,1.0K,45556,1000, WASHINGTON, DC,green,Midday,3rd Qtr,Green Line ,Weekend,9:30am-3pm,2.4,957,82,1039,2.4,2493.6,2296.8,196.8,0.92107796,0.07892204
Anacostia,AM Peak,0.4K,45556,400, WASHINGTON, DC,green,AM Peak Hours,3rd Qtr,Green Line ,Weekend,Open-9:30am,2.4,390,22,412,2.4,988.8,936,52.8,0.946601942,0.053398058
Archives,Late Night,0.0K,45630,0, WASHINGTON, DC,"green, yellow",Late Night,4th Qtr,Blue Line ,Weekday,12am-Close,2.4,14,1,15,2.4,36,33.6,2.4,0.933333333,0.066666667
Archives,Evening,0.7K,45630,700, WASHINGTON, DC,"green, yellow",Evening,4th Qtr,Blue Line ,Weekday,7pm-12am,2.4,703,8,711,2.4,1706.4,1687.2,19.2,0.988748242,0.011251758
Archives,PM Peak,3.6K,45630,3600, WASHINGTON, DC,"green, yellow",PM Peak Hours,4th Qtr,Blue Line ,Weekday,3pm-7pm,2.4,3519,70,3589,2.4,8613.6,8445.6,168,0.98049596,0.01950404
Archives,Midday,1.1K,45630,1100, WASHINGTON, DC,"green, yellow",Midday,4th Qtr,Blue Line ,Weekday,9:30am-3pm,2.4,1069,29,1098,2.4,2635.2,2565.6,69.6,0.973588342,0.026411658
Archives,AM Peak,0.2K,45630,200, WASHINGTON, DC,"green, yellow",AM Peak Hours,4th Qtr,Blue Line ,Weekday,Open-9:30am,2.4,187,3,190,2.4,456,448.8,7.2,0.984210526,0.015789474
Archives,Late Night,0.0K,45647,0, WASHINGTON, DC,"green, yellow",Late Night,4th Qtr,Blue Line ,Weekend,12am-Close,2.4,17,2,19,2.4,45.6,40.8,4.8,0.894736842,0.105263158
Archives,Evening,0.5K,45647,500, WASHINGTON, DC,"green, yellow",Evening,4th Qtr,Blue Line ,Weekend,7pm-12am,2.4,468,13,481,2.4,1154.4,1123.2,31.2,0.972972973,0.027027027
Archives,PM Peak,1.3K,45647,1300, WASHINGTON, DC,"green, yellow",PM Peak Hours,4th Qtr,Blue Line ,Weekend,3pm-7pm,2.4,1278,52,1330,2.4,3192,3067.2,124.8,0.960902256,0.039097744
Archives,Midday,0.7K,45647,700, WASHINGTON, DC,"green, yellow",Midday,4th Qtr,Blue Line ,Weekend,9:30am-3pm,2.4,643,36,679,2.4,1629.6,1543.2,86.4,0.946980854,0.053019146
Archives,AM Peak,0.0K,45647,0, WASHINGTON, DC,"green, yellow",AM Peak Hours,4th Qtr,Blue Line ,Weekend,Open-9:30am,2.4,47,1,48,2.4,115.2,112.8,2.4,0.979166667,0.020833333
Archives,Late Night,0.0K,45448,0, WASHINGTON, DC,"green, yellow",Late Night,2nd Qtr,Blue Line ,Weekday,12am-Close,2.4,4,0,4,2.4,9.6,9.6,0,1,0
Archives,Evening,0.8K,45448,800, WASHINGTON, DC,"green, yellow",Evening,2nd Qtr,Blue Line ,Weekday,7pm-12am,2.4,731,39,770,2.4,1848,1754.4,93.6,0.949350649,0.050649351
Archives,PM Peak,3.7K,45448,3700, WASHINGTON, DC,"green, yellow",PM Peak Hours,2nd Qtr,Blue Line ,Weekday,3pm-7pm,2.4,3643,77,3720,2.4,8928,8743.2,184.8,0.979301075,0.020698925
Archives,Midday,1.1K,45448,1100, WASHINGTON, DC,"green, yellow",Midday,2nd Qtr,Blue Line ,Weekday,9:30am-3pm,2.4,1002,67,1069,2.4,2565.6,2404.8,160.8,0.937324602,0.062675398
Archives,AM Peak,0.2K,45448,200, WASHINGTON, DC,"green, yellow",AM Peak Hours,2nd Qtr,Blue Line ,Weekday,Open-9:30am,2.4,203,20,223,2.4,535.2,487.2,48,0.910313901,0.089686099
Archives,Late Night,0.0K,45458,0, WASHINGTON, DC,"green, yellow",Late Night,2nd Qtr,Blue Line ,Weekend,12am-Close,2.4,15,6,21,2.4,50.4,36,14.4,0.714285714,0.285714286
Archives,Evening,0.7K,45458,700, WASHINGTON, DC,"green, yellow",Evening,2nd Qtr,Blue Line ,Weekend,7pm-12am,2.4,639,28,667,2.4,1600.8,1533.6,67.2,0.95802099,0.04197901
Archives,PM Peak,2.1K,45458,2100, WASHINGTON, DC,"green, yellow",PM Peak Hours,2nd Qtr,Blue Line ,Weekend,3pm-7pm,2.4,2050,80,2130,2.4,5112,4920,192,0.962441315,0.037558685
Archives,Midday,1.0K,45458,1000, WASHINGTON, DC,"green, yellow",Midday,2nd Qtr,Blue Line ,Weekend,9:30am-3pm,2.4,968,38,1006,2.4,2414.4,2323.2,91.2,0.96222664,0.03777336
Archives,AM Peak,0.1K,45458,100, WASHINGTON, DC,"green, yellow",AM Peak Hours,2nd Qtr,Blue Line ,Weekend,Open-9:30am,2.4,67,10,77,2.4,184.8,160.8,24,0.87012987,0.12987013
Archives,Late Night,0.0K,45357,0, WASHINGTON, DC,"green, yellow",Late Night,1st Qtr,Blue Line ,Weekday,12am-Close,2.4,3,0,3,2.4,7.2,7.2,0,1,0
Archives,Evening,0.7K,45357,700, WASHINGTON, DC,"green, yellow",Evening,1st Qtr,Blue Line ,Weekday,7pm-12am,2.4,690,45,735,2.4,1764,1656,108,0.94,0.06
Archives,PM Peak,3.6K,45357,3600, WASHINGTON, DC,"green, yellow",PM Peak Hours,1st Qtr,Blue Line ,Weekday,3pm-7pm,2.4,3515,89,3604,2.4,8649.6,8436,213.6,0.98,0.02
Archives,Midday,0.9K,45357,900, WASHINGTON, DC,"green, yellow",Midday,1st Qtr,Blue Line ,Weekday,9:30am-3pm,2.4,832,88,920,2.4,2208,1996.8,211.2,0.9,0.1
Archives,AM Peak,0.2K,45357,200, WASHINGTON, DC,"green, yellow",AM Peak Hours,1st Qtr,Blue Line ,Weekday,Open-9:30am,2.4,173,27,200,2.4,480,415.2,64.8,0.87,0.14
Archives,Late Night,0.0K,45374,0, WASHINGTON, DC,"green, yellow",Late Night,1st Qtr,Blue Line ,Weekend,12am-Close,2.4,29,4,33,2.4,79.2,69.6,9.6,0.878787879,0.121212121
Archives,Evening,0.6K,45374,600, WASHINGTON, DC,"green, yellow",Evening,1st Qtr,Blue Line ,Weekend,7pm-12am,2.4,560,42,602,2.4,1444.8,1344,100.8,0.930232558,0.069767442
Archives,PM Peak,1.9K,45374,1900, WASHINGTON, DC,"green, yellow",PM Peak Hours,1st Qtr,Blue Line ,Weekend,3pm-7pm,2.4,1871,59,1930,2.4,4632,4490.4,141.6,0.969430052,0.030569948
Archives,Midday,0.8K,45374,800, WASHINGTON, DC,"green, yellow",Midday,1st Qtr,Blue Line ,Weekend,9:30am-3pm,2.4,774,45,819,2.4,1965.6,1857.6,108,0.945054945,0.054945055
Archives,AM Peak,0.0K,45374,0, WASHINGTON, DC,"green, yellow",AM Peak Hours,1st Qtr,Blue Line ,Weekend,Open-9:30am,2.4,39,10,49,2.4,117.6,93.6,24,0.795918367,0.204081633
Archives,Late Night,0.0K,45539,0, WASHINGTON, DC,"green, yellow",Late Night,3rd Qtr,Blue Line ,Weekday,12am-Close,2.4,1,0,1,2.4,2.4,2.4,0,1,0
Archives,Evening,0.9K,45539,900, WASHINGTON, DC,"green, yellow",Evening,3rd Qtr,Blue Line ,Weekday,7pm-12am,2.4,864,6,870,2.4,2088,2073.6,14.4,0.993103448,0.006896552
Archives,PM Peak,3.6K,45539,3600, WASHINGTON, DC,"green, yellow",PM Peak Hours,3rd Qtr,Blue Line ,Weekday,3pm-7pm,2.4,3538,33,3571,2.4,8570.4,8491.2,79.2,0.990758891,0.009241109
Archives,Midday,1.1K,45539,1100, WASHINGTON, DC,"green, yellow",Midday,3rd Qtr,Blue Line ,Weekday,9:30am-3pm,2.4,1061,22,1083,2.4,2599.2,2546.4,52.8,0.979686057,0.020313943
Archives,AM Peak,0.3K,45539,300, WASHINGTON, DC,"green, yellow",AM Peak Hours,3rd Qtr,Blue Line ,Weekday,Open-9:30am,2.4,320,4,324,2.4,777.6,768,9.6,0.987654321,0.012345679
Archives,Late Night,0.0K,45556,0, WASHINGTON, DC,"green, yellow",Late Night,3rd Qtr,Blue Line ,Weekend,12am-Close,2.4,22,0,22,2.4,52.8,52.8,0,1,0
Archives,Evening,0.6K,45556,600, WASHINGTON, DC,"green, yellow",Evening,3rd Qtr,Blue Line ,Weekend,7pm-12am,2.4,539,13,552,2.4,1324.8,1293.6,31.2,0.976449275,0.023550725
Archives,PM Peak,1.5K,45556,1500, WASHINGTON, DC,"green, yellow",PM Peak Hours,3rd Qtr,Blue Line ,Weekend,3pm-7pm,2.4,1456,42,1498,2.4,3595.2,3494.4,100.8,0.971962617,0.028037383
Archives,Midday,0.8K,45556,800, WASHINGTON, DC,"green, yellow",Midday,3rd Qtr,Blue Line ,Weekend,9:30am-3pm,2.4,821,27,848,2.4,2035.2,1970.4,64.8,0.968160377,0.031839623
Archives,AM Peak,0.1K,45556,100, WASHINGTON, DC,"green, yellow",AM Peak Hours,3rd Qtr,Blue Line ,Weekend,Open-9:30am,2.4,67,7,74,2.4,177.6,160.8,16.8,0.905405405,0.094594595
Arlington Cemetery,Late Night,0.0K,45630,0, ARLINGTON, VA,blue,Late Night,4th Qtr,Blue Line ,Weekday,12am-Close,2.4,1,0,1,2.4,2.4,2.4,0,1,0
Arlington Cemetery,Evening,0.0K,45630,0, ARLINGTON, VA,blue,Evening,4th Qtr,Blue Line ,Weekday,7pm-12am,2.4,6,0,6,2.4,14.4,14.4,0,1,0
Arlington Cemetery,PM Peak,0.1K,45630,100, ARLINGTON, VA,blue,PM Peak Hours,4th Qtr,Blue Line ,Weekday,3pm-7pm,2.4,129,3,132,2.4,316.8,309.6,7.2,0.977272727,0.022727273
Arlington Cemetery,Midday,0.1K,45630,100, ARLINGTON, VA,blue,Midday,4th Qtr,Blue Line ,Weekday,9:30am-3pm,2.4,140,4,144,2.4,345.6,336,9.6,0.972222222,0.027777778
Arlington Cemetery,AM Peak,0.0K,45630,0, ARLINGTON, VA,blue,AM Peak Hours,4th Qtr,Blue Line ,Weekday,Open-9:30am,2.4,26,0,26,2.4,62.4,62.4,0,1,0
